ID,RMSE,NDCG@10
923,2.7131013528351287,0.123151194370365
1248,3.2857009949318736,0.0
1540,3.5959132335096413,0.0
2765,4.0,0.0
2786,4.0,0.0
2314,3.415650255319866,0.0
1601,3.696845502136472,0.0
1740,3.774917217635375,0.0
920,3.2747234942943364,0.0
3530,4.0,0.0
1228,4.0,0.0
1354,3.4006859440134485,0.0
1579,2.3530566167527134,0.0
1738,3.286640190632256,0.0
81,3.29479163351463,0.0
1020,4.0,0.0
277,3.2943060033491176,0.0
935,3.3887444938086304,0.0
697,2.0,
1687,3.1746237284049226,0.224322946018989
641,2.38733504985489,0.0
3377,3.774917217635375,0.0
3192,3.505297388887673,0.0
3514,3.6847765525487906,0.0
2984,3.5355339059327378,0.0
2910,4.0,0.0
2312,0.0,
2571,3.0442725583867563,0.0
2616,3.099156212517733,0.0
1415,3.4327203593687186,0.0
105,3.017228593694501,0.0
172,3.4370763365542274,0.0
1939,3.507322619642329,0.0
3436,1.6227073512399763,0.0
3657,4.0,0.0
1430,3.6167189383773097,0.0
2671,4.0,0.0
661,3.398315717434072,0.0
843,2.7094263824176243,0.0
1811,1.0,
1914,2.6634957809084687,0.1480409554829326
306,4.0,0.0
522,4.0,0.0
1526,3.9707658074563605,0.0
2722,3.1622776601683795,0.0
3606,3.6885280542962646,0.0
946,2.1381303959845295,0.07414861528507456
458,3.3428912724988877,0.0
1120,3.6840613844939414,0.0
1142,3.466195472061327,0.0
2705,3.222360709428524,0.0
2458,2.937738783262952,0.0
2434,2.6970378792219876,0.0
1177,3.5818283882159268,0.0
17,2.9335347188861354,0.07075576072108063
799,3.06978007645136,0.27426546945536817
1008,3.409891855558291,0.3903800499921017
1627,4.0,0.0
1732,2.5659573726731773,0.0
1150,3.111847815282364,0.0
285,2.668532470722097,0.0
1942,3.4932291106500535,0.0
3369,3.4448340808536964,0.0
3280,2.888042795238301,0.0
2465,3.7768062661546575,0.0
1656,2.5796471436412785,0.0
1224,2.7106540693754124,0.0
212,2.9196134310764785,0.0
2290,3.586741173767831,0.0
658,3.4857603191342594,0.0
1524,3.3416479501536673,0.0
1040,3.1011433888920394,0.0
2400,3.605551275463989,0.0
1856,2.3374495466483847,0.0
3083,4.0,0.0
1089,3.3474117727894996,0.0
2929,1.3040267911930326,
1090,2.8055737788346664,0.0
372,2.616770765177937,0.0
2078,2.2469525160865764,0.0
744,2.3804761428476167,0.0
3382,3.293407675590267,0.0
1143,3.565262115172464,0.0
788,3.078787785371715,0.0
2711,3.120067413263903,0.0
1188,3.9175290832524188,0.0
1573,3.095680777445526,0.0
1118,3.135815807152996,0.0
3420,2.0,
3441,3.5355339059327378,0.0
2870,3.113521677074299,0.0
567,3.895621467629071,0.0
385,3.7395130413458237,0.0
2667,3.1561467640269734,0.0
3581,4.0,0.0
1920,4.0,0.0
2003,4.0,0.0
333,3.187455754796242,0.0
1341,2.9625533983629535,0.11838279295536293
864,3.6512249749197228,0.0
574,3.2707497399454497,0.18873103118020407
2004,3.0535752678115102,0.0
2365,2.591493984094164,0.0
3160,3.366501646120693,0.0
3625,4.0,0.0
621,3.194798007607529,0.0
483,2.5974538326263428,0.0
642,3.5355339059327378,0.0
3519,4.0,0.0
249,3.2487621077882087,0.0
2317,3.1622776601683795,0.0
2367,2.9526472453839716,0.0
1320,3.140696169079098,0.1100458831490401
2615,1.7663197798769852,0.0
3167,3.1622776601683795,0.0
