ID,RMSE,NDCG@10
4173,4.0,0.0
2181,3.0,0.0
3436,0.2197493314743042,
3145,3.5398508310317993,0.3010299956639812
4332,2.0,
3065,4.0,0.0
332,3.0,0.0
2663,3.0,0.0
4675,3.6366498470306396,0.0
1456,3.0,0.0
705,4.0,0.0
3404,2.0,
540,4.0,0.0
4179,3.346222400665283,0.43067655807339306
461,3.6596275803444516,0.0
161,3.0,0.0
1991,2.0,
4671,3.5216230154037476,0.3333333333333333
1800,2.9812769073387293,0.0
1166,2.5495097567963922,0.0
3066,3.0,0.0
4350,4.0,0.0
3058,4.0,0.0
4049,2.0,
623,3.0,0.0
2675,4.0,0.0
1993,4.0,0.0
2696,3.0,0.0
2879,4.0,0.0
570,4.0,0.0
3381,4.0,0.0
5013,1.0,
2823,4.0,0.0
3510,1.0,
40,3.5355339059327378,0.0
1486,4.0,0.0
617,4.0,0.0
1876,3.0,0.0
255,4.0,0.0
2710,3.5355339059327378,0.0
2791,3.0,0.0
2413,3.365883946418762,0.38685280723454163
2756,4.0,0.0
2859,3.0,0.0
76,3.5355339059327378,0.0
5055,0.0,
869,2.847970590082054,0.0
2,3.5355339059327378,0.0
1727,4.0,0.0
4231,3.0,0.0
566,3.0,0.0
4571,4.0,0.0
4546,3.0,0.0
3360,3.0,0.0
4465,4.0,0.0
1022,3.0,0.0
1066,4.0,0.0
773,0.0,
1224,3.5355339059327378,0.0
4999,3.5355339059327378,0.0
2113,3.5355339059327378,0.0
1595,3.0,0.0
492,4.0,0.0
3486,4.0,0.0
2877,4.0,0.0
2670,4.0,0.0
4978,3.0,0.0
98,2.1935874436220875,0.0
215,2.9154759474226504,0.0
3917,3.1622776601683795,0.0
4997,1.5811388300841898,
1928,3.0,0.0
2597,3.0,0.0
3514,4.0,0.0
3786,4.0,0.0
3220,4.0,0.0
974,3.0,0.0
5040,4.0,0.0
4607,2.5495097567963922,0.0
3396,4.0,0.0
697,4.0,0.0
1784,4.0,0.0
4829,3.5355339059327378,0.0
1546,4.0,0.0
2079,3.0,0.0
1327,2.2276012568591756,0.0
3474,4.0,0.0
1045,4.0,0.0
1631,4.0,0.0
2479,4.0,0.0
4732,4.0,0.0
4416,2.0,
5068,4.0,0.0
2838,4.0,0.0
4985,2.0,
4379,2.7797725441518417,0.0
3079,3.0,0.0
162,4.0,0.0
2235,3.0,0.0
2338,4.0,0.0
4462,2.0,
764,3.0,0.0
681,4.0,0.0
134,3.0,0.0
4621,3.6892730080706557,0.3065735963827292
2313,2.0,
3400,4.0,0.0
2070,4.0,0.0
1742,2.8284271247461903,0.0
4138,3.6974259313950326,0.23719771276929622
3156,3.9351141871027977,0.0
963,4.0,0.0
4380,4.0,0.0
1127,3.0,0.0
1778,3.1622776601683795,0.0
1344,1.0,
4503,3.6887707710266113,0.0
1380,4.0,0.0
345,4.0,0.0
3095,3.0,0.0
4491,2.0,
3610,4.0,0.0
2917,3.0,0.0
418,4.0,0.0
12,3.727400846805556,0.21840743681816419
3428,4.0,0.0
4406,2.7876579761505127,0.0
1316,4.0,0.0
4910,4.0,0.0
1517,3.0,0.0
4133,4.0,0.0
514,3.0,0.0
3446,4.0,0.0
2203,4.0,0.0
1515,4.0,0.0
2649,4.0,0.0
1478,2.0,
373,2.0,
4716,4.0,0.0
3423,4.0,0.0
1021,3.0,0.0
808,4.0,0.0
2777,4.0,0.0
2750,3.5355339059327378,0.0
3425,4.0,0.0
4554,3.0,0.0
2216,4.0,0.0
4569,1.0,
5032,4.0,0.0
2060,4.0,0.0
3728,4.0,0.0
754,3.2257302133499306,0.21840743681816419
2460,2.0,
4645,4.0,0.0
2041,3.973213315010071,0.0
2665,4.0,0.0
80,2.0,
4744,4.0,0.0
5015,4.0,0.0
4439,3.872488021850586,0.0
3604,4.0,0.0
325,4.0,0.0
871,4.0,0.0
1115,4.0,0.0
4440,2.3929982572595963,0.38685280723454163
2382,2.0,
2612,4.0,0.0
4165,2.886751345948129,0.0
3271,1.0,
1863,3.0,0.0
3853,4.0,0.0
2933,4.0,0.0
2516,3.0,0.0
1195,2.5495097567963922,0.0
4678,3.0,0.0
3655,3.5355339059327378,0.0
2453,4.0,0.0
1734,4.0,0.0
297,3.5355339059327378,0.0
2260,4.0,0.0
4268,4.0,0.0
2376,4.0,0.0
4598,2.0,
105,4.0,0.0
2719,3.0,0.0
3737,2.23606797749979,0.0
1599,3.0,0.0
3417,4.0,0.0
2084,4.0,0.0
2256,4.0,0.0
1176,4.0,0.0
4252,3.934521148751399,0.0
2735,4.0,0.0
4906,4.0,0.0
1748,3.366501646120693,0.0
3987,4.0,0.0
3437,2.524763584136963,1.0
5073,4.0,0.0
2002,4.0,0.0
4432,4.0,0.0
717,2.523674249649048,1.0
3575,4.0,0.0
4879,4.0,0.0
289,3.0,0.0
1628,3.0,0.0
3267,2.5203940868377686,1.0
4421,3.5355339059327378,0.0
2776,4.0,0.0
2890,4.0,0.0
3852,4.0,0.0
3817,4.0,0.0
1124,0.0,
2732,0.0,
3834,4.0,0.0
4836,4.0,0.0
585,2.5495097567963922,0.0
534,2.0,
576,4.0,0.0
458,4.0,0.0
523,0.0,
4747,4.0,0.0
4311,1.0,
4900,0.0,
4280,3.3458110397983774,0.6131471927654584
2589,3.0,0.0
2943,0.0,
3088,4.0,0.0
729,3.0,0.0
3488,3.0,0.0
382,4.0,0.0
3373,4.0,0.0
1726,2.0,
4324,4.0,0.0
3851,1.0,
3778,0.0,
4741,4.0,0.0
4338,4.0,0.0
4148,3.0,0.0
1592,4.0,0.0
796,4.0,0.0
749,4.0,0.0
