ID,RMSE,NDCG@10
991,3.0,0.0
177,2.7265643726706785,0.0
213,3.5355339059327378,0.0
2864,3.8393057584762573,0.0
63,1.6554686148369,0.0
3900,3.779751165560521,0.0
1970,2.9094840491192695,0.0
5135,3.646736780485888,0.0
3582,3.5355339059327378,0.0
434,2.70267697869666,0.17993148201117182
246,3.3353311045496556,0.1100458831490401
4631,2.9197657381858013,0.0
641,0.7071067811865476,
5349,3.8888864517211914,0.0
461,3.2179305398209705,0.0
957,3.6480857364001733,0.0
4570,4.0,0.0
2932,3.232625953168435,0.0
3783,3.8959509471607534,0.0
2626,2.3547139167785645,0.0
2178,4.0,0.0
3386,2.670072802510841,0.0
1178,3.3417513393302287,0.0
309,3.0365096442318005,0.0
1665,2.967730344703761,0.0
4304,0.5773502691896257,
472,4.0,0.0
317,2.9251684984085373,0.0
1194,3.4922750918131467,0.0
3967,3.1458465425009083,0.0
3795,0.032549381256103516,
696,2.6023124922213445,0.0
4972,4.0,0.0
3931,3.5820473500495,0.0
419,3.149640123389907,0.0
856,3.370858393151088,0.0
264,2.198622158732391,0.0
4014,3.492365837097168,0.0
41,3.696845502136472,0.0
189,2.8694963596031893,0.0
1473,2.5138114808459995,0.0
844,2.0,
5203,4.0,0.0
817,3.7944935625838476,0.0
1434,3.190585854724886,0.0
1583,4.0,0.0
4368,3.536160135715176,0.0
3262,3.740395696448421,0.0
376,3.703998228132052,0.0
3237,2.8284271247461903,0.0
806,3.687817782917155,0.0
1412,4.0,0.0
3342,4.0,0.0
1705,3.274588913845568,0.0
4555,2.0,
4407,2.042448731297986,0.0
243,3.0988354676859107,0.0
401,4.0,0.0
3691,3.737063025057085,0.0
5325,4.0,0.0
3609,0.5478690895646902,
449,3.6881085935045474,0.0
5271,2.5495097567963922,0.0
1576,3.1622776601683795,0.0
1859,3.2000418504083177,0.0
2435,2.39579036556906,0.0
3707,1.0,
1820,2.702328765519937,0.0
1971,1.7122031844100087,0.0
364,4.0,0.0
115,2.0,
4206,4.0,0.0
3121,4.0,0.0
2326,3.0215661939120113,0.0
2053,2.764002947440666,0.0
52,3.239048161323735,0.13032376591037065
786,3.3100541937774577,0.09109240322345807
2003,2.4796763042883785,0.0
430,2.022312641143799,0.0
5264,0.0,
3581,3.0,0.0
1753,2.7987140153454355,0.0
4377,2.3286192417144775,0.0
354,3.4487067712635735,0.0
878,4.0,0.0
4529,3.549961250478395,0.0
1848,3.152833264406438,0.24630238874073
3120,3.6279181241989136,0.0
4556,3.7832316552659178,0.0
631,3.158868825203302,0.08514311764162101
3636,3.0,0.0
5077,0.32721725795166545,
197,3.2016671415455633,0.4864918354282828
397,3.5803250309848593,0.0
57,3.2848086578168907,0.4249260138166711
5364,3.684229011530301,0.0
2046,0.6463257490404616,
4906,3.0,0.0
2787,3.558615259969968,0.0
94,3.4261643006114006,0.0
3942,3.4165066527848094,0.0
5478,3.4330786345031292,0.0
1558,2.8405303600142098,0.0
1824,2.4653486793066826,0.0
211,3.2289824477535873,0.0
270,3.1622776601683795,0.0
3457,3.9193673861407374,0.0
412,4.0,0.0
4665,4.0,0.0
2693,3.5355339059327378,0.0
1344,3.1371340084936903,0.0
3686,3.5355339059327378,0.0
2271,3.9962310244523978,0.0
5451,2.3138838200201794,0.0
883,0.0,
172,2.928654080614268,0.0
1867,3.0413812651491097,0.0
1601,3.82535132445058,0.0
3292,4.0,0.0
3661,3.335463226496422,0.0
582,3.119338149380013,0.0
4448,3.6772615619445057,0.0
5329,3.033479816428392,0.0
917,3.432037463293879,0.0
1331,3.347597102356682,0.0
1727,4.0,0.0
1730,1.0,
167,3.736601493430483,0.0
417,2.7468223028584555,0.0
142,3.6354525805622226,0.0
5072,2.609508694524415,0.20438239758848611
2346,3.8656891965943863,0.0
1439,3.900433458703736,0.0
108,3.726038952830375,0.0
