ID,RMSE,NDCG@10
4173,0.7730586869851556,0.0
2181,0.5537461593488064,0.0
3436,2.598183616232122,
3145,1.5440207287389835,0.0
4332,1.1897812600294078,
3065,0.47957928149088325,0.0
332,0.0646601871773651,0.0
2663,0.6666146916434759,0.0
4675,0.0,0.0
1456,0.4300348045074447,0.0
705,0.3684863326776458,0.0
3404,1.4154116680077227,
540,0.7343213758210236,0.0
4179,0.40026371763786806,0.0
461,0.32405887363980057,0.0
161,0.015032567665626217,0.0
1991,1.3716688696516162,
4671,0.40253113752231506,0.0
1800,0.2213113886903687,0.0
1166,0.6051236457576636,0.0
3066,0.2814053665718479,0.0
4350,0.9462567419465682,0.0
3058,0.16143423451386843,0.0
4049,1.278019254176174,
623,0.6776290014898354,0.0
2675,0.8748688901466135,0.0
1993,0.06576791298108095,0.0
2696,0.019087016327544504,0.0
2879,0.19593709509689283,0.0
570,0.23685917268420376,0.0
3381,0.28235575062688945,0.0
5013,2.144929843452987,
2823,0.16588535963790996,0.0
3510,1.2869006950571151,
40,0.4895071234486695,0.0
1486,0.6244066465948759,0.0
617,0.12927663955605162,0.0
1876,0.0909714873344587,0.0
255,0.5223713471638671,0.0
2710,0.48002028828127224,0.0
2791,0.5246182974263451,0.0
2413,0.7168534879526174,0.0
2756,1.8357408548542349,0.0
2859,0.3369419147381538,0.0
76,0.4530458204064967,0.0
5055,3.0295041885986524,
869,2.6642880143873913,0.0
2,0.6969154573588261,0.0
1727,0.6938699551680525,0.0
4231,0.3868002538150126,0.0
566,0.009433404025626757,0.0
4571,0.307261598305004,0.0
4546,0.3976764975744249,0.0
3360,0.639185286789429,0.0
4465,0.23897085564432644,0.0
1022,1.0,0.0
1066,0.21281446988694874,0.0
773,1.844893355439412,
1224,0.14348540033669993,0.0
4999,0.9307264765471478,0.0
2113,0.7891693364665637,0.0
1595,0.8297941188345244,0.0
492,0.0,1.0
3486,1.2587730953306941,0.0
2877,0.7062048647052402,0.0
2670,0.23614183626128818,0.0
4978,0.2521101828827472,0.0
98,1.0051547462290236,0.0
215,2.0649092614450786,0.0
3917,1.1371197417641477,0.0
4997,0.8916281072949132,
1928,1.2798099006246826,0.0
2597,0.5699976511025984,0.0
3514,0.33290476861992424,0.0
3786,0.3723471237532845,0.0
3220,0.8869975913618742,0.0
